material_type,material_name,item_description,vendor_item_number,vendor_name,class_name,url_link,notes,additional classes
Drawing,Brush Pens - Bright Colors,"Tombow Dual Brush Pens - Set of 10, Bright Colors",21334-1179,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/tombow-dual-brush-pens-bright-colors-set-of-10/,,Drawing
Drawing,Brush Pens - Primary Colors,"Tombow Dual Brush Pens - Set of 10, Primary Colors",21334-1119,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/tombow-dual-brush-pens-primary-colors-set-of-10/,,Drawing
Drawing,Brush Pens - Grey Scale,"Tombow Dual Brush Pens - Set of 10, Gray Scale Colors",21334-1159,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/tombow-dual-brush-pens-grary-scale-colors-set-of-10/,,Drawing
Encaustics,Enkaustikos Cakes,Enkaustikos Hot Cakes Encaustic Paints and Sets,Various,Blick Art Materials,AP 2D,https://www.dickblick.com/products/enkaustikos-hot-cakes-encaustic-wax-paints/?fromSearch=%2Fsearch%2F%3Fsearchword%3D01111-0029,,Drawing
Art Kit,Eraser - Pink Pearl box of 12,"Pink Pearl Eraser - Large, Box of 12",21518-3051,Blick Art Materials,Whole Department,https://www.dickblick.com/products/pink-pearl-eraser/?fromSearch=%2Fsearch%2F%3Fsearchword%3D21518-3051,,
Art Kit,Eraser Caps - box of 240,Pencil Cap Erasers,21577-1024,Blick Art Materials,Whole Department,Pentel Hi-Polymer Eraser Caps,,
Art Kit,Eraser - Prismacolor Magic Rub,Magic Rub Eraser,21510-1003,Blick Art Materials,Whole Department,https://www.dickblick.com/products/prismacolor-magic-rub-eraser/,,
Art Kit,Eraser - Hi-Plolymer 3 pack,Pentel Hi-Polymer Erasers pkg of 3,21590-1021,Blick Art Materials,Whole Department,https://www.dickblick.com/products/pentel-hi-polymer-erasers/,,
Fibers,Tapestry Needles,"Blunt Tapestry Needles, 12",65104-1009,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65104-1009,,"Art 2, Art 3, Art 4"
Fibers,Lacing Needles Plastic,"Roylco Plastic Lacing Needles, 32",81339-1001,Blick Art Materials,Whole Department,https://www.dickblick.com/products/roylco-plastic-lacing-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D81339-1001,,
Fibers,Weaving Needles Plastic,"Plastic Weaving Needles, 12",65109-1009,Blick Art Materials,Whole Department,https://www.dickblick.com/products/plastic-weaving-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D65109-1009,,
Fibers,DMC Cotton Embroidery Floss,embroidery thread,various,Blick Art Materials,Whole Department,https://www.dickblick.com/products/dmc-cotton-embroidery-floss/,,
Fibers,Leisure Arts Fiber-fil Poly Stuffing,Stuffing,various,Blick Art Materials,Whole Department,https://www.dickblick.com/products/essentials-by-leisure-arts-fiber-fil/,,
Painting,Blick Unprimed Cotton Canvas,"Unprimed Canvas by the yard - 7oz 72""",07334-1772,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/blick-cotton-canvas-by-the-yard-7-oz-unprimed-72/,,"Art 2, Art 3, Art 4"
Fibers,Classroom Yarn Assortment,Assorted Yarn - 5lb assorted colors,65208-1005,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/classroom-yarn-assortment-5-lb-assorted-colors/,,"Art 2, Art 3, Art 4"
Fibers,Dritz Embroidery Needles - Size 3,Embroidery Needles package of 3,62430-1001,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/dritz-embroidery-needles/?fromSearch=%2Fsearch%2F%3Fsearchword%3D62430-1001,,"Art 2, Art 3, Art 4"
Fibers,Janlynn Embroidery Floss,"Janlynn Embroidery Floss Pack, Primary, Pkg of 36",73502-1036,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/janlynn-embroidery-floss-pack-primary-pkg-of-36/,,"Art 2, Art 3, Art 4"
Fixative,Blick Matte Fixative - 12 oz,Spray Fixative,21707-1105,Blick Art Materials,Drawing,https://www.dickblick.com/items/blick-matte-fixative-12-oz/,,AP2D
Fixative,Artist's Spray Adhesive,Scotch Spray Mount Artist's Adhesive - 10.25 oz,23706-1105,Blick Art Materials,Drawing,https://www.dickblick.com/items/3m-spray-mount-artists-adhesive-1025-oz/,,AP2D
Fixative,Yautomo Nori Paste,collage paste,24000-1002,Blick Art Materials,Drawing,https://www.dickblick.com/items/yasutomo-nori-paste-10-oz-jar/,,AP2D
Markers,Studio  Markers - Set Assorted Colors,"Blick Studio Brush Markers - Set of 24, Assorted Colors",24532-1249,Blick Art Materials,Drawing,https://www.dickblick.com/items/blick-studio-brush-markers-assorted-colors-set-of-24/,,AP2D
Markers,Dual Brush Pens - Set,"Tombow Dual Brush Pens - Set of 54 with Case, Assorted Colors",21334-1549,Blick Art Materials,Drawing,https://www.dickblick.com/items/tombow-dual-brush-pens-set-of-54-with-case/,,AP2D
Paint,Blickcrylic - Primary Blue,"Blickrylic Student Acrylics - Primary Blue, Half Gallon",00711-5018,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-primary-blue-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Burnt Umber,"Blickrylic Student Acrylics - Burnt Umber, Half Gallon",00711-8058,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-umber-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Burnt Sienna,"Blickrylic Student Acrylics - Burnt Sienna, Half Gallon",00711-8048,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-sienna-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Bright Red,"Blickrylic Student Acrylics - Bright Red, Half Gallon",00711-3078,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-bright-red-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Titanium Wht,"Blickrylic Student Acrylics - Titanium White, Half Gallon",00711-1118,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-titanium-white-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Mars Black,"Blickrylic Student Acrylics - Mars Black, Half Gallon",00711-2048,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-mars-black-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Primary Yellow,"Blickrylic Student Acrylics - Primary Yellow, Half Gallon",00711-4018,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-primary-yellow-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Raw Sienna,"Blickrylic Student Acrylics -Raw Sienna, Half Gallon",00711-8068,Blick Art Materials,Art 1,https://www.dickblick.com/products/blickrylic-student-acrylics/?Item=00711-8068,,"Art 2, Art 3, Art 4"
Paint,Blickcrylic - Magenta,"Blickrylic Student Acrylics - Magenta, Half Gallon",00711-3048,Blick Art Materials,Art 1,https://www.dickblick.com/items/blickrylic-student-acrylics-magenta-half-gallon/,,"Art 2, Art 3, Art 4"
Paint,Chromacryl - Black,"Chromacryl Students' Acrylics - Black, 64 oz bottle",00709-2008,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-black-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - White,"Chromacryl Students' Acrylics - White, 64 oz bottle",00709-1008,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-1008,,Adv Art 2
Paint,Chromacryl - Blockout White,"Chromacryl Students' Acrylics - Blockout White, 1/2 Gallon",00709-1028,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-1026,,Adv Art 2
Paint,Chromacryl - Cool Blue,"Chromacryl Students' Acrylics - Cool Blue, 64 oz tube",00709-5628,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-cool-blue-64-oz-tube/,,Adv Art 2
Paint,Chromacryl - Cool Red,"Chromacryl Students' Acrylics - Cool Red, 64 oz bottle",00709-3718,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-cool-red-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - Warm Red,"Chromacryl Students' Acrylics - Warm Red, 64 oz bottle",00709-3728,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-warm-red-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - Cool Yellow,"Chromacryl Students' Acrylics - Cool Yellow, 64 oz bottle",00709-4478,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-cool-yellow-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - Warm Yellow,"Chromacryl Students' Acrylics - Warm Yellow, 64 oz bottle",00709-4428,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-warm-yellow-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - Warm Blue,"Chromacryl Students' Acrylics - Warm Blue, 64 oz bottle",00709-5508,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-warm-blue-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - Burnt Sienna,"Chromacryl Students' Acrylics - Burnt Sienna, 64 oz bottle",00709-8048,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-8048,,Adv Art 2
Paint,Chromacryl - Yellow Oxide,"Chromacryl Students' Acrylics - Yellow Oxide, 64 oz bottle",00709-4118,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/chromacryl-students-acrylics-yellow-oxide-64-oz-bottle/,,Adv Art 2
Paint,Chromacryl - Burnt Umber,"Chromacryl Students' Acrylics - Burnt Umber, 64 oz bottle",00709-8058,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-8058,,Adv Art 2
Class Supplies,FIFO 16 oz. Squeeze Bottles,6 Pack FIFO 16 oz. Squeeze Bottles,various,Amazon,Whole Department,https://www.amazon.com/dp/B072K1SWND/?coliid=I2HR46UM78UTDN&colid=3VSHZ90G91VUB&psc=1&ref_=lv_ov_lig_dp_it,,
Painting,Disposable Palette Paper,"Richeson Disposable Palette Paper Bulk Pack - 11"" x 14"" pkg of 1400",03513-1005,Blick Art Materials,Whole Department,https://www.dickblick.com/items/richeson-disposable-palette-paper-bulk-pack-11-x-14-pkg-of-1400/,,
Painting,Oil and Acrylic Pad Sheets,"Canson XL Oil and Acrylic Pad - 11"" x 14"", 24 Sheets",34920-1063,Blick Art Materials,Whole Department,https://www.dickblick.com/items/canson-xl-oil-acrylic-pad-11-x-14-24-sheets/,,
Paint,Liquitex Metallic Paint,"Liquitex Basics Acrylic Paints - Set of 6, Metallic and Iridescent, 22 ml",00717-0619,Blick Art Materials,Drawing,https://www.dickblick.com/items/liquitex-basics-acrylic-set-set-of-6-metallic-75-oz-tubes/,,AP2D
Paint,Liquitex Fluorescent Paint,"Liquitex Basics Acrylic Paints - Set of 6 Fluorescent, 22 ml",00717-0609,Blick Art Materials,Drawing,https://www.dickblick.com/items/liquitex-basics-acrylic-set-set-of-6-fluorescent-75-oz-tubes/,,AP2D
Painting,Canvas Packs,Blick Academic Canvas 2-Packs,various,Blick Art Materials,Whole Department,https://www.dickblick.com/products/blick-academic-cotton-canvas-packs/?fromSearch=%2Fsearch%2F%3Fsearchword%3D07167-1620,,
Painting,Canvas 16 x 20,"Blick Academic Cotton Stretched Canvas Pack - 16"" x 20"", Pkg of 2",07167-1620,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-academic-cotton-stretched-canvas-16-x-20-pkg-of-2/,,
Paint,Studio Acrylic - Titan White,"Blick Studio Acrylics - Pkg of 2, Titanium White, 4 oz tubes",01637-1010,Blick Art Materials,Drawing,https://www.dickblick.com/items/blick-studio-acrylics-pkg-of-2-titanium-white-4-oz-tubes/,,AP2D
Paint,Studio Acrylic - Set 12,"Blick Studio Acrylics - Set of 12 colors, 21 ml tubes",01637-0129,Blick Art Materials,Drawing,https://www.dickblick.com/items/blick-studio-acrylics-set-of-12-colors-21-ml-tubes/,,AP2D
Paper,Black Mat Board,"Crescent Bulk Matboards - Black, 32"" x 40"", Pkg of 25",13046-2020,Blick Art Materials,Whole Department,https://www.dickblick.com/items/crescent-bulk-matboards-black-32-x-40-pkg-of-25/,,
Paper,White Mat Board,"Crescent Bulk Matboards - White, 32"" x 40"", Pkg of 25",13046-1020,Blick Art Materials,Whole Department,https://www.dickblick.com/items/crescent-bulk-matboards-white-32-x-40-pkg-of-25/,,
Art Kit,Sketchbook 9 x 12,Beinfang Mixed Media Sketchbook 9 x 12,22784-1023,Blick Art Materials,Whole Department,https://www.dickblick.com/products/bienfang-mixed-media-pad/,,
Paper,Watercolor Paper 140lb - 18 x 24 ,"Blick Studio Watercolor Pad - 18"" x 24"", 140 lb, Tapebound, 15 Sheets",10180-1209,Blick Art Materials,Drawing,https://www.dickblick.com/items/blick-studio-watercolor-pad-18-x-24-140-lb-tapebound-15-sheets/,,AP2D
Printmaking,Blue Lino Cut Sheets 5 x 7,"Blick Blue Easy-To-Cut - Sheet, 5"" x 7""",40420-1057,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/blick-blue-easy-to-cut-sheet-5-x-7/,,Adv Art 2
Printmaking,Block Print Ink - Gold,"Blick Water-Soluble Block Printing Ink - Gold, 8 oz Jar",40305-4055,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/blick-water-soluble-block-printing-ink-gold-8-oz-jar/,,Adv Art 2
Printmaking,Block Print Ink - Black,"Blick Water-Soluble Block Printing Ink - Black, 5 oz Tube",40305-2007,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/blick-water-soluble-block-printing-ink-black-5-oz-tube/,,Adv Art 2
Printmaking,Lino Cutter No. 1 - set,"Speedball Linoleum Cutters - Lino Cutter No. 1, Set of 5 Cutters",40203-1019,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/speedball-lino-set-no-1-without-handle/,,Adv Art 2
Printmaking,Lino Cutter Handles,"Speedball Linoleum Cutter Handles - Box of 12, Assorted Colors",40201-1009,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/speedball-linoleum-cutter-handles-box-of-12-assorted-colors/,,Adv Art 2
Printmaking,Lino Cut Set No. 5 U-Gouge,"Speedball Linoleum Cutter - Pkg of 12, No. 5 Large U-Gouge",40203-1012,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-5-large-u-gouge/,,Adv Art 2
Printmaking,Lino Cut Set No. 3 U-Gouge,"Speedball Linoleum Cutter - Pkg of 12, No. 3 Small U Gouge",40203-1312,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-3-small-u-gouge/,,Adv Art 2
Printmaking,Lino Cut Set No. 2 V-Gouge,"Speedball Linoleum Cutter - Pkg of 12, No. 2 Large V",40203-1412,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-2-large-v/,,Adv Art 2
Printmaking,Lino Cut Set No. 1 V-Gouge,"Speedball Linoleum Cutter - Pkg of 12, No. 1 Small V",40203-1212,Blick Art Materials,Adv Art 1,https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-1-small-v/,,Adv Art 2
Printmaking,Block Print Ink - Proc Magenta,"Speedball Water-Soluble Block Printing Ink - Process Magenta, 5 oz",40303-3712,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?Item=40303-3712,,Adv Art 2
Printmaking,Block Print Ink - Proc Yellow,"Speedball Water-Soluble Block Printing Ink - Process Yellow, 5 oz",40303-4402,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dprocess+yellow+ink&Item=40303-4402,,Adv Art 2
Printmaking,Block Printing Ink,Speedball Water-Soluble Block Printing Inks and Sets,Various,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/,,Adv Art 2
Printmaking,Block Pring Ink - Proc Cyan,"Speedball Water-Soluble Block Printing Ink - Process Cyan, 5 oz",40303-5512,Blick Art Materials,Adv Art 1,https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dprocess+yellow+ink&Item=40303-5512,,Adv Art 2
Crafting,Foam Shapes - Assorted,"Creativity Street WonderFoam Pieces - Assorted Colors and Shapes, 1/2 lb, Approx 3000 Pieces",60947-1005,Blick Art Materials,Partners Art,https://www.dickblick.com/items/creativity-street-wonderfoam-pieces-assorted-colors-and-shapes-12-lb-approx-3000-pieces/,,
Crafting,Foam Sheets - Assorted,"Creativity Street WonderFoam Sheets - Assorted Colors, 9"" x 12"" Sheets, Pkg of 10",60947-1023,Blick Art Materials,Partners Art,https://www.dickblick.com/items/creativity-street-wonderfoam-sheets-assorted-colors-9-x-12-sheets-pkg-of-10/,,
Sharpeners,Pencil Sharpener Black,Blick Pencil Sharpener,21460-1001,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-pencil-sharpener/,,
Sharpeners,Red Pencil Sharpener,Blick by KUM Long Point Sharpener,21461-1001,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-by-kum-long-point-sharpener/,,
Sharpeners,X-Acto Electric Sharpener,X-Acto School Pro Electric Pencil Sharpener - Black,81406-2020,Blick Art Materials,Whole Department,https://www.dickblick.com/items/x-acto-school-pro-electric-pencil-sharpener-black/,,
Paper,Watercolor Paper 90b - 18 x 24 ,"Blick Essentials Watercolor Pad - 18"" x 24"", 90 lb, Tapebound, 15 Sheets",10180-1009,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-essentials-watercolor-pad-18-x-24-90-lb-tapebound-15-sheets/,,
Painting,Watercolor Pan Set - Square,"Prang Semi-Moist Watercolor Paint - Square Pans, Assorted, Set of 16",00305-1008,Blick Art Materials,Whole Department,https://www.dickblick.com/items/prang-watercolor-pans-square-assorted-set-of-16-colors/,,
Painting,Watercolor Pan Set - Oval,"Prang Watercolor Pans - Oval, Assorted, Set of 16 colors",00305-1009,Blick Art Materials,Whole Department,https://www.dickblick.com/items/prang-watercolor-pans-oval-assorted-set-of-16-colors/,,
Paint,W&N Slow Dry Medium,Winsor & Newton Artists' Acrylic Slow Drying Medium,02022-3001,Blick Art Materials,Drawing,https://www.dickblick.com/products/winsor-newton-artists-acrylic-slow-drying-medium/?fromSearch=%2Fsearch%2F%3Fsearchword%3D02022-3001,,AP2D
Paper,Yupo Watercolor Paper,"Yupo Synthetic Paper, Single Sheet, ",10067-1031,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/legion-yupo-synthetic-paper-sheets-and-rolls/,,"AP2D, Drawing"
Sponges,Large Cleanup Sponge,Large cleanup sponge,SKU: 3232,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/largecleanupsponge/,,
Drawing,Prismacolor Pencils - Set of 24,"Prismacolor Premier Colored Pencils - Set of 24, Assorted Colors",20508-0036,Blick Art Materials,Whole Department,https://www.dickblick.com/products/prismacolor-premier-colored-pencils/?Item=20508-2409,,
Clay,Underglaze Pencil - Black,Amaco Underglaze Decorating Pencil - Black,30438-2020,Blick Art Materials,Ceramics,https://www.dickblick.com/items/amaco-underglaze-decorating-pencil-black/,,
Clay,White Stoneware No Grog,White Stoneware No Grog,SKU: 7116,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/white-stoneware-no-grog-25-lb-bag-trinity-ceramic/,,
Sponges,Small Yellow Rnd Sponge,Yellow Round Sponge ,SKU: 2670,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/yellowroundsponge/,,
Sponges,Blue Mudsponge,Mudtools Throwing Sponge Blue,SKU: 6459,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/blue-mudsponge/,,
Clay Tools,Pro Needle Tool,Pro Needle Tool – PRO | Kemper (Blister Pack),SKU: 940,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/pro/,,
Brushes,Glazing Fan Brush,Soft Fan Brush - 6 | Royal Langnickel,SKU: 6527,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/r835-6/,,
Clay Tools,R2-X 6″ RIBBON TOOL,Trimming Tool,SKU: 948,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/r2-x/,,
Clay Tools,FTB-X SCORING TOOL,Scoring Tool,SKU: 770,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/ftb-x-scoring/,,
Clay Tools,BLUE 1 FIRM RIB,Blue Plastic Kidney Rib,SKU: 5537,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/blue-rib-1/,,
Ceramics,14in Pottery Wheel Bat,large bat for pottery wheel,30019-9014,Blick Art Materials,Ceramics,https://www.dickblick.com/items/amaco-plasti-bat-with-pin-holes-14-round/,,
Clay Tools,Metal Rib - Pointed Half Moon,Half Moon shaped rib with pointed tip,31161-4001,Blick Art Materials,Ceramics,https://www.dickblick.com/items/richeson-stainless-steel-scrapers-pointed-half-moon-2-x-4-58/,,
