,Name,Platform,Year,Lumino+E1,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
33,1000 Cooking Recipes from ELLE à table,DS,2010,Educational,Nintendo,0,0.02,0,0,0.03
34,1001 Touch Games,DS,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33
35,101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.13,0,0.02,0.2
36,101-in-1 Party Megamix Wii,Wii,2009,Sports,Nordcurrent,0.19,0.01,0,0.02,0.23
37,101-in-1 Sports Megamix,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08
38,101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0,0,0,0.03
39,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
40,11eyes: CrossOver,PSP,2010,Adventure,5pb,0,0,0.02,0,0.02
41,11eyes: CrossOver,X360,2009,Adventure,5pb,0,0,0.02,0,0.02
42,12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0,0,0.04,0,0.04
43,12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0,0.07
44,12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.04,0,0.04
45,15 Days,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0,0.01
46,1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.05,0.3
47,18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11
48,18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4
49,18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,Rondomedia,0,0.02,0,0,0.02
50,18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0,0.01,0.11
51,187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15
52,187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06
53,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Compilation,THQ,0.09,0.03,0,0,0.12
54,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Compilation,THQ,1.26,0.47,0,0.03,1.76
55,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Compilation,THQ,1.25,0.46,0,0.03,1.75
56,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Compilation,THQ,0.22,0.08,0,0.01,0.31
57,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Compilation,THQ,1.31,0.49,0,0.03,1.83
58,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Compilation,THQ,0.44,0.16,0,0.01,0.61
59,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Compilation,Sega,0.04,0.02,0,0,0.06
60,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Compilation,THQ,0.33,0.12,0,0.01,0.45
61,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Compilation,Ubisoft,0.09,0.01,0,0.01,0.12
62,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Compilation,Sega,0.4,0.11,0,0.02,0.53
63,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59
64,2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19
65,2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05
66,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
67,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09,0.86
68,2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.24,0.03,0.12,0.48
69,2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43
70,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71
71,2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0,0.04,0.47
72,24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3
73,25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42
74,25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17
75,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Compilation,Activision,0.06,0.02,0,0,0.09
76,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4
77,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Card Game/Casino,Deep Silver,0,0.07,0,0.01,0.08
78,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06,0.41
79,3D Baseball,PS,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0,0.03
80,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57
81,3D Lemmings,PS,1995,Puzzle,Psygnosis,0.03,0.02,0,0,0.06
82,3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0,0.01,0.1
83,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23
84,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19
85,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19
86,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0,0,0.15,0,0.15
87,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9
88,4 Elements,PC,2009,Puzzle,Mastertronic,0,0.04,0,0.01,0.05
89,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Compilation,Atari,0.11,0,0,0.01,0.12
90,4 Nin uchi Mahjong,NES,1984,Card Game/Casino,Nintendo,0,0,1.45,0,1.45
91,40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31
92,428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,Spike,0,0,0.04,0,0.04
93,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike,0,0,0.02,0,0.02
94,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0,0.13
95,4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14
96,4x4 EVO 2,XB,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24
97,4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32
98,50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21
99,50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19
100,50 Cent: Bulletproof,PSP,2006,Action,Vivendi Games,0.08,0,0,0.01,0.09
101,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77
102,50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44
103,50 Classic Games,3DS,2012,Compilation,Avanquest Software,0,0.02,0,0,0.02
104,50 Classic Games,DS,2009,Compilation,Destineer,0.52,0,0,0.04,0.55
105,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Trivia/Board Game,Namco Bandai Games,0,0,0.22,0,0.22
106,7 Days to Die,PS4,2016,Action,Telltale Games,0.03,0.07,0,0.02,0.12
107,7 Days to Die,XOne,2016,Action,Telltale Games,0.02,0.02,0,0,0.04
108,7 Roses: A Darkness Rises,PC,2015,Adventure,Avanquest Software,0,0.02,0,0,0.02
109,7 Wonders 2,DS,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03,0.32
110,7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13
111,7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08
112,7 Wonders: Treasures of Seven,DS,2011,Puzzle,Avanquest,0.02,0.03,0,0.01,0.05
113,7th Dragon,DS,2009,Role-Playing,Sega,0,0,0.14,0,0.14
114,7th Dragon 2020,PSP,2011,Role-Playing,Sega,0,0,0.2,0,0.2
115,7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0,0,0.13,0,0.13
116,7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.03,0,0.12,0,0.16
117,'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41
118,99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,0.04,0,0.04
119,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.37,0,0.03,0.03,0.43
120,A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02,0.22
121,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79
122,A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01,0.63
123,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Compilation,Activision,0.76,0.52,0,0.09,1.37
124,A Collection of Classic Games from the Intellivision,PS,1999,Compilation,Activision,0.17,0.12,0,0.02,0.31
125,A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,0,0.03,0,0.01,0.04
126,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,Kaga Create,0,0,0.03,0,0.03
127,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0,0,0.06,0,0.06
128,A New Beginning,PC,2010,Adventure,Deep Silver,0,0.05,0,0.01,0.06
129,A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0,0,0.03,0,0.03
130,A Ressha de Ikou DS,DS,2009,Simulation,ArtDink,0,0,0.04,0,0.04
131,A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02
132,A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11
133,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0,0,0.24,0.02,0.25
134,A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,0.26,0,0.26
135,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0,0.18
136,A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto,0,0,0.26,0,0.26
137,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,0.12,0,0.12
138,A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26
139,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,0.14,0,0.14
140,Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01
141,ABBA: You Can Dance,Wii,2011,Rhythm/Music,Ubisoft,0.19,0.5,0,0.11,0.8
142,Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0.02,0,0.02
143,Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0,0.01
144,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Rhythm/Music,MTV Games,0.25,0,0,0.02,0.28
145,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Rhythm/Music,MTV Games,0.21,0.01,0,0.02,0.24
146,AC/DC LIVE: Rock Band Track Pack,X360,2008,Rhythm/Music,MTV Games,0.21,0,0,0.02,0.23
147,AC/DC LIVE: Rock Band Track Pack,PS2,2008,Rhythm/Music,MTV Games,0.08,0.06,0,0.02,0.16
148,Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.1,0.02,0,0.01,0.13
149,Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03
150,Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03
151,Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02
152,Accel World: Kasoku no Chouten,PSP,2013,Adventure,Namco Bandai Games,0,0,0.01,0,0.01
153,Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0,0.27
154,Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,0.26,0,0.26
155,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76
156,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
157,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
158,Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
159,Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71
160,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.02
161,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99
162,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51
163,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74
164,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49
165,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24
166,Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29
167,Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0,0.02
168,Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0,0.01
169,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14
170,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54
171,Action Man-Operation Extreme,PS,2000,Action,Atari,0.05,0.03,0,0.01,0.09
172,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01,0.19
173,Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,0.14,0,0,0.01,0.15
174,Active Life: Extreme Challenge,Wii,2009,Party/Minigames,Namco Bandai Games,0.15,0.27,0,0.06,0.48
175,Active Life: Magical Carnival,Wii,2011,Party/Minigames,Namco Bandai Games,0.04,0.01,0,0,0.05
176,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14,1.55
177,Activision Anthology,GBA,2003,Compilation,Activision,0.03,0.01,0,0,0.05
178,Activision Anthology,PS2,2002,Compilation,Activision,0.25,0.19,0,0.06,0.5
179,Activision Hits: Remixed,PSP,2006,Compilation,Activision,0.05,0,0,0,0.06
180,Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01,0.13
181,Adidas Power Soccer,PS,1996,Sports,Psygnosis,0.02,0.01,0,0,0.04
182,Adidas Power Soccer 98,PS,1998,Sports,Psygnosis,0.01,0.01,0,0,0.02
183,Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14
184,Advance Guardian Heroes,GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04
185,Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0,0.01,0.7
186,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0,0.01,0.65
187,Advance Wars: Days of Ruin,DS,2008,Strategy,Nintendo,0.44,0.13,0,0.06,0.63
188,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4
189,Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0,0.13
190,Adventure,2600,1980,Adventure,Atari,1.21,0.08,0,0.01,1.3
191,Adventure Island,NES,1986,Platform,Hudson Soft,0,0,1.05,0,1.05
192,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0,0.01,0.14
193,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01,0.08
194,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.02,0,0.01,0.05
195,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,D3Publisher,0.02,0.01,0,0,0.03
196,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0,0.02,0.1
197,Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.02,0.06,0,0.01,0.09
198,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.04,0,0.01,0.09
199,Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.02,0.05,0,0.01,0.07
200,Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,Little Orbit,0.03,0.02,0,0,0.05
201,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.02,0.02,0,0,0.05
202,Adventure Time: The Secret of the Nameless,3DS,2014,Adventure,Little Orbit,0.01,0,0,0,0.02
203,Adventure Time: The Secret of the Nameless,X360,2014,Adventure,Little Orbit,0.01,0,0,0,0.01
204,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.08,0,0.01,0.09
205,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0,0.08
206,Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0,0,0,0.06
207,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67
208,Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.1,0,0.01,0.01,0.13
209,Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02
210,Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0,0.01,0.04
211,Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0,0,0.03
212,Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.02
213,Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04
214,Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0,0.01
215,Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0,0.01,0.07
216,Aero Gauge,N64,1997,Racing,ASCII Entertainment,0.06,0.01,0,0,0.07
217,AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0,0.19
218,Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.21
219,Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02,0.24
220,Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03,0.2
221,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.03,0.12
222,Again,DS,2009,Adventure,Ackkstudios,0.07,0,0,0,0.07
223,Agarest Senki: Re-appearance,PS3,2007,Role-Playing,Idea Factory,0,0,0.01,0,0.01
224,Agassi Tennis Generation,PS2,2003,Sports,DreamCatcher Interactive,0.04,0.03,0,0.01,0.09
225,Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08
226,Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02
227,Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.07,0.02,0,0.01,0.09
228,Agatha Christie: Peril at End House,PC,2009,Adventure,JoWood Productions,0,0.01,0,0,0.01
229,Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0,0.02
230,Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0,0.01,0.1
231,Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.02
232,Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0,0.02,0,0,0.03
233,Age of Empires 2: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.02,0.1
234,Age of Empires 3,PC,2005,Strategy,Microsoft Game Studios,0,0.32,0,0.07,0.39
235,Age of Empires 3: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03,0.17
236,Age of Empires 3: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0.01,0.03
237,Age of Empires 3: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.07
238,Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01,0.06
239,Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0,0.02,0.14
240,Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.17,0.03,0,0.02,0.22
241,Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.19,0.02,0,0.02,0.23
242,Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01,0.09
243,Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.01,0.02,0,0,0.04
244,Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35
245,Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06
246,Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0,0,0.06
247,Agile Warrior F-111X,PS,1995,Simulation,Virgin Interactive,0.08,0.05,0,0.01,0.14
248,Aibou DS,DS,2009,Adventure,Tecmo Koei,0,0,0.08,0,0.08
249,Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,THQ,0.08,0.02,0,0,0.1
250,Aikatsu! 2-nin no My Princess,3DS,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26
251,Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0,0,0.13,0,0.13
252,Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0,0.2
253,Aikatsu! My No.1 Stage!,3DS,2015,Rhythm/Music,Namco Bandai Games,0,0,0.07,0,0.07
254,Ailu de Puzzle,PSP,2012,Action,Capcom,0,0,0.04,0,0.04
255,AIR,PSP,2007,Adventure,Prototype,0,0,0.02,0,0.02
256,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
257,Air Conflicts: Aces of World War 2,PSP,2009,Simulation,Graffiti,0.05,0,0,0,0.05
258,Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19
259,Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08
260,Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0,0.02,0,0.01,0.03
261,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77
262,Air Traffic Chaos,DS,2007,Simulation,Ertain,0.05,0,0,0,0.05
263,Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23
264,Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12
265,AirForce Delta Storm,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.02
266,AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01,0.18
267,AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11
268,Airline Tycoon,PC,2000,Simulation,Interplay,0,0.01,0,0,0.02
269,Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0,0.04,0,0.01,0.05
